post_url,title,publication_url,publication_name,url_source,source_key,discovery_source,popular_discovery_url,post_cap,scrape_status
https://www.construction-physics.com/p/how-did-tvs-get-so-cheap,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-01032026,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/should-us-homebuilders-emulate-sweden,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-accurate-are-learning-curves,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-122025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-bell-labs-won-its-first-nobel,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-12132025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/stagnant-construction-productivity,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-12062025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-112925,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-a-government-think-tank-trained,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-112225,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-asml-got-euv,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-111525,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/what-is-a-production-process,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-1182025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/strap-rail,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-11012025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-the-uk-lost-its-shipbuilding,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-102525,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-101825,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/more-on-us-pedestrian-deaths,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/my-book-the-origins-of-efficiency-7bf,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-10112025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/why-are-so-many-pedestrians-killed,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-10042025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-092725,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-common-is-accidental-invention,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-092025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/whats-happening-to-wholesale-electricity,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-09132025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/an-engineering-history-of-the-manhattan,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-09062025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/i-was-wrong-about-data-center-water,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/ford-and-the-birth-of-the-model-t,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-082325,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-does-the-us-use-water,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-081625,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/my-book-the-origins-of-efficiency,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-08092025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/group-technology-the-forgotten-cousin,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-08022025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-072625,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/where-are-vacation-homes-located,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-071925,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-china-became-the-worlds-biggest,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-07122025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/should-the-federal-government-sell,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-07052025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-062825,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/why-are-homes-in-western-states-so,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-for-06212025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/batteries-are-making-the-electrical,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-for-061425,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-for-06072025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/how-often-do-inventions-have-multiple,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-for-05312025,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/can-we-afford-large-scale-solar-pv,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
https://www.construction-physics.com/p/reading-list-052425,,https://www.construction-physics.com,www.construction-physics.com,sitemap,construction_physics,handpicked_construction_physics,,200,pending
