post_url,publication_url,publication_name,source_key,publish_date,title,word_count,paragraph_count,like_count,comment_count,engagement_available,n_paragraphs,mean_complexity,max_complexity,complexity_variance,complexity_range,complexity_slope,opening_complexity,middle_complexity,ending_complexity,peak_position,resolution_index,jumpiness,derivative_std,n_spikes,above_mean_rate,early_spike_score,mean_embed_dist,max_embed_dist,embed_dist_slope,mean_sentiment_compound,mean_sentiment_neg,negative_paragraph_rate,sentiment_variance,mean_abs_sentiment_shift,sentiment_shift_rate,sentiment_slope,engagement_raw,engagement_z,above_median_engagement_by_publication,gradient_shape
https://heathercoxrichardson.substack.com/p/american-conversations-marc-elias,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2025-12-08,American Conversations: Marc Elias,195.0,3.0,,121.0,True,3,0.5361103475295846,1.5280944541206103,0.5189414731257074,1.6889434679036996,0.8444717339518499,-0.1608490137830893,0.2410856022512329,1.5280944541206103,1.0,0.0,0.1958391007347516,0.4425371179175275,1,0.3333333333333333,-0.1608490137830893,,,,0.2923999999999999,0.0283333333333333,0.3333333333333333,0.1398874066666666,0.4481499999999999,0.5,-0.44815,5.493061443340548,-2.743232369468934,0,plateau
https://heathercoxrichardson.substack.com/p/american-conversations-senator-mark,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2025-12-10,American Conversations: Senator Mark Warner,147.0,3.0,,144.0,True,3,0.235667409571694,0.3854660262754466,0.0192860101173706,0.3346947250149354,-0.1099967999593066,0.2707649011791244,0.3854660262754466,0.0507713012605112,0.5,0.3346947250149354,0.0504891575243049,0.2246979250556288,1,0.6666666666666666,0.2707649011791244,,,,0.6100666666666666,0.007,0.0,0.1874049088888888,0.52415,0.0,-0.4353499999999999,5.666426688112432,-2.4698056836435143,0,resolution
https://heathercoxrichardson.substack.com/p/american-conversations-vanessa-williamson,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-03-31,American Conversations: Vanessa Williamson,119.0,3.0,,102.0,True,3,-0.2883913946943594,0.0308601359537441,0.0659696960738233,0.628921920150655,-0.3144609600753275,0.0308601359537441,-0.2979725358399117,-0.5980617841969108,0.0,0.628921920150655,0.0002065460977147,0.0143717117183283,1,0.3333333333333333,0.0308601359537441,,,,0.5636333333333333,0.0203333333333333,0.0,0.1520736288888888,0.80675,0.0,-0.1056499999999999,5.3230099791384085,-3.0114326557358373,0,resolution
https://heathercoxrichardson.substack.com/p/april-1-2026,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-02,"April 1, 2026",1763.0,25.0,,737.0,True,25,0.5094295757136436,1.895523154375716,0.2518202427687602,2.252878881792745,-0.0256039309650672,0.525196064214661,0.559899476594908,0.3422533845688323,0.2916666666666667,1.553269769806883,0.4264829460076856,0.6530566177657843,4,0.4,0.853184140525099,,,,0.393752,0.0464,0.28,0.222457514496,0.4689291666666667,0.3333333333333333,-0.007637,7.29641326877392,0.1009623458805791,0,rollercoaster
https://heathercoxrichardson.substack.com/p/april-10-2026,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-11,"April 10, 2026",1233.0,17.0,,1083.0,True,17,0.5289868137584267,1.357455364328089,0.294367981258228,2.1129234023216243,-0.0570207099241262,0.7886627273716803,0.5996796053362359,0.0101039976932066,0.6875,1.3473513666348824,0.5983426611121436,0.7735261218033581,3,0.4705882352941176,1.2753984976573538,,,,0.0956470588235294,0.0790588235294117,0.4705882352941176,0.4079512213148789,0.79198125,0.5625,0.0328860294117646,7.681099001536359,0.7076776372410722,1,rollercoaster
https://heathercoxrichardson.substack.com/p/april-11-2026,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-12,"April 11, 2026",1548.0,21.0,,885.0,True,21,0.1292295749415766,1.021428885618246,0.207687775095635,1.5084370947664258,-0.0147069422176541,0.1859597473682868,0.1007498706597163,0.1650584414309124,0.1,0.8563704441873337,0.3621999612576283,0.6018305087461322,3,0.3809523809523809,1.021428885618246,,,,-0.0049857142857142,0.0791428571428571,0.3809523809523809,0.3267313155102041,0.6126999999999999,0.45,-0.0299432467532467,7.479299637782834,0.389405475451045,1,rollercoaster
https://heathercoxrichardson.substack.com/p/april-12-2026,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-13,"April 12, 2026",1876.0,26.0,,833.0,True,26,0.2714872364524497,1.194750189708682,0.2312691721331757,2.0172690944509144,0.0024678083051444,0.1514928424796279,0.3357378850392956,0.1858795549473649,0.88,1.0088706347613172,0.3194704537719064,0.5652171739888187,4,0.5,0.3998443134686353,,,,0.1540307692307692,0.0599615384615384,0.2692307692307692,0.2998950921301775,0.7878000000000001,0.36,-0.0087114529914529,7.418780882750794,0.2939570328265481,1,resolution
https://heathercoxrichardson.substack.com/p/april-13-2026,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-14,"April 13, 2026",1727.0,25.0,,779.0,True,25,0.2527979599537395,1.4335972947844031,0.2279113970676966,2.0541896793016,-0.0201957487137589,0.461514940218378,0.295318857824499,-0.0834817139231775,0.0416666666666666,1.5170790087075807,0.4803056839570285,0.6930408963091778,3,0.44,1.4335972947844031,,,,0.2117799999999999,0.06528,0.32,0.3381524128,0.6891333333333334,0.375,-0.0245413846153846,7.351799869057777,0.1883165014074212,0,rollercoaster
https://heathercoxrichardson.substack.com/p/april-14-2026,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-15,"April 14, 2026",1315.0,18.0,,682.0,True,18,0.3803567952873689,1.2400015311037014,0.1992989290175758,1.5236080616856411,-0.031764925140979,0.2962307736929901,0.5448120721488656,0.0533446247280056,0.2352941176470588,1.1866569063756958,0.4432427225564098,0.6657647651809232,4,0.3888888888888889,0.5648729304215002,,,,-0.3989166666666666,0.1089444444444444,0.7222222222222222,0.2526939169444444,0.6304176470588235,0.3529411764705882,-0.0014376676986584,7.21890970761906,-0.0212740452376351,0,rollercoaster
https://heathercoxrichardson.substack.com/p/april-15-2026-wednesday,https://heathercoxrichardson.substack.com,heathercoxrichardson.substack.com,letters_from_an_american,2026-04-16,"April 15, 2026",1913.0,28.0,,681.0,True,28,0.3605110466110878,1.1903856092109282,0.1974336839235826,1.9994253207057129,0.0043047364150507,0.1454595984242697,0.5120384891671521,0.1714893146484014,0.5185185185185185,1.0188962945625268,0.3070773861314746,0.554145636210802,5,0.4642857142857143,0.7015833310676243,,,,0.097825,0.0873571428571428,0.3571428571428571,0.4958927790178571,0.7520851851851853,0.3703703703703703,-0.0206409688013136,7.217443431696533,-0.0235866135181447,0,resolution
